,Player,Tm,Yr2019_20
0,Stephen Curry,GSW,"$40,231,758 "
1,Chris Paul,OKC,"$38,506,482 "
2,Russell Westbrook,HOU,"$38,178,000 "
3,John Wall,WAS,"$37,800,000 "
4,James Harden,HOU,"$37,800,000 "
5,LeBron James,LAL,"$37,436,858 "
6,Kevin Durant,BRK,"$37,199,000 "
7,Blake Griffin,DET,"$34,234,964 "
8,Kyle Lowry,TOR,"$33,296,296 "
9,Paul George,LAC,"$33,005,556 "
10,Klay Thompson,GSW,"$32,742,000 "
11,Jimmy Butler,MIA,"$32,742,000 "
12,Kemba Walker,BOS,"$32,742,000 "
13,Kawhi Leonard,LAC,"$32,742,000 "
14,Gordon Hayward,BOS,"$32,700,690 "
15,Mike Conley,UTA,"$32,511,623 "
16,Kyrie Irving,BRK,"$31,742,000 "
17,Tobias Harris,PHI,"$31,034,483 "
18,Khris Middleton,MIL,"$30,603,448 "
19,Paul Millsap,DEN,"$30,500,000 "
20,Damian Lillard,POR,"$29,802,321 "
21,Kevin Love,CLE,"$28,900,000 "
22,Nikola Vučević,ORL,"$28,000,000 "
23,Al Horford,PHI,"$28,000,000 "
24,DeMar DeRozan,SAS,"$27,739,975 "
25,CJ McCollum,POR,"$27,556,959 "
26,Joel Embiid,PHI,"$27,504,630 "
27,Andrew Wiggins,GSW,"$27,504,630 "
28,Kristaps Porziņģis,DAL,"$27,285,000 "
29,D'Angelo Russell,MIN,"$27,285,000 "
30,Otto Porter,CHI,"$27,250,576 "
31,Devin Booker,PHO,"$27,250,000 "
32,Karl-Anthony Towns,MIN,"$27,250,000 "
33,Bradley Beal,WAS,"$27,093,019 "
34,Anthony Davis,LAL,"$27,093,019 "
35,Andre Drummond,CLE,"$27,093,019 "
36,Hassan Whiteside,POR,"$27,093,018 "
37,Nikola Jokić,DEN,"$26,573,595 "
38,Jrue Holiday,NOP,"$26,131,111 "
39,LaMarcus Aldridge,SAS,"$26,000,000 "
40,Steven Adams,OKC,"$25,842,697 "
41,Giannis Antetokounmpo,MIL,"$25,842,697 "
42,Marc Gasol,TOR,"$25,595,700 "
43,Nicolas Batum,CHO,"$25,565,217 "
44,Chandler Parsons,ATL,"$25,102,511 "
45,Rudy Gobert,UTA,"$25,008,427 "
46,Harrison Barnes,SAC,"$24,147,727 "
47,Serge Ibaka,TOR,"$23,271,604 "
48,Danilo Gallinari,OKC,"$22,615,559 "
49,Victor Oladipo,IND,"$21,000,000 "
50,Malcolm Brogdon,IND,"$20,000,000 "
51,Terry Rozier,CHO,"$19,894,737 "
52,Aaron Gordon,ORL,"$19,863,636 "
53,Zach LaVine,CHI,"$19,500,000 "
54,Kent Bazemore,SAC,"$19,269,662 "
55,Tyler Johnson,PHO,"$19,245,370 "
56,Goran Dragić,MIA,"$19,217,900 "
57,Jeff Teague,ATL,"$19,000,000 "
58,Evan Turner,MIN,"$18,606,557 "
59,Draymond Green,GSW,"$18,539,130 "
60,Tristan Thompson,CLE,"$18,539,130 "
61,Tim Hardaway,DAL,"$18,150,000 "
62,Myles Turner,IND,"$18,000,000 "
63,Julius Randle,NYK,"$18,000,000 "
64,Gary Harris,DEN,"$17,839,286 "
65,Allen Crabbe,MIN,"$17,818,456 "
66,Derrick Favors,NOP,"$17,650,000 "
67,Reggie Jackson,DET,"$17,286,956 "
68,Andre Iguodala,MIA,"$17,185,185 "
69,Bojan Bogdanović,UTA,"$17,000,000 "
70,Evan Fournier,ORL,"$17,000,000 "
71,Bismack Biyombo,CHO,"$17,000,000 "
72,Clint Capela,ATL,"$16,456,522 "
73,Gorgui Dieng,MEM,"$16,229,213 "
74,Ricky Rubio,PHO,"$16,190,476 "
75,Jonas Valančiūnas,MEM,"$16,000,000 "
76,Brandon Knight,DET,"$15,643,750 "
77,Eric Bledsoe,MIL,"$15,625,000 "
78,Kelly Oubre,PHO,"$15,625,000 "
79,Dennis Schröder,OKC,"$15,500,000 "
80,Ian Mahinmi,WAS,"$15,450,051 "
81,James Johnson,MIN,"$15,349,400 "
82,Marvin Williams,CHO,"$15,006,250 "
83,Bobby Portis,NYK,"$15,000,000 "
84,Marcus Morris,LAC,"$15,000,000 "
85,Danny Green,LAL,"$14,634,146 "
86,Cody Zeller,CHO,"$14,471,910 "
87,Eric Gordon,HOU,"$14,057,730 "
88,Mason Plumlee,DEN,"$14,041,096 "
89,Rudy Gay,SAS,"$14,000,000 "
90,J.J. Redick,NOP,"$13,486,300 "
91,Jordan Clarkson,UTA,"$13,437,500 "
92,Dewayne Dedmon,ATL,"$13,333,334 "
93,Solomon Hill,MIA,"$13,258,781 "
94,Justise Winslow,MEM,"$13,000,000 "
95,Michael Kidd-Gilchrist,CHO,"$13,000,000 "
96,Will Barton,DEN,"$12,960,000 "
97,Thaddeus Young,CHI,"$12,900,000 "
98,Courtney Lee,DAL,"$12,759,670 "
99,Larry Nance,CLE,"$12,727,273 "
100,Marcus Smart,BOS,"$12,553,471 "
101,Terrence Ross,ORL,"$12,500,000 "
102,Miles Plumlee,MEM,"$12,500,000 "
103,Patty Mills,SAS,"$12,428,571 "
104,Patrick Beverley,LAC,"$12,345,679 "
105,Trevor Ariza,POR,"$12,200,000 "
106,Dion Waiters,MEM,"$12,100,000 "
107,Brook Lopez,MIL,"$12,093,024 "
108,Jusuf Nurkić,POR,"$12,000,000 "
109,Cory Joseph,SAC,"$12,000,000 "
