,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
0,Luguentz Dort,OKC,SG,155647.0,637.9,20,7.6,244.0,36.0,820.0,27.0,31.0,4.0
1,Ky Bowman,GSW,PG,350189.0,1045.34,22,9.1,335.0,45.0,1015.0,131.0,44.0,10.0
2,Eric Paschall,GSW,PF,898310.0,1073.25,23,14.5,837.0,60.0,1654.0,127.0,32.0,13.0
3,PJ Dozier,DEN,PG,183115.0,1089.97,23,11.6,168.0,29.0,412.0,63.0,14.0,6.0
4,Devonte' Graham,CHO,PG,1416852.0,1237.43,24,15.8,1145.0,63.0,2211.0,471.0,62.0,15.0
5,Damion Lee,GSW,SG,842327.0,1356.4,27,12.7,621.0,49.0,1423.0,133.0,50.0,6.0
6,Dillon Brooks,MEM,SG,1618520.0,1370.47,24,11.3,1181.0,73.0,2112.0,150.0,63.0,27.0
7,Kendrick Nunn,MIA,SG,1416852.0,1383.64,24,12.9,1024.0,67.0,1962.0,220.0,56.0,15.0
8,Marquese Chriss,GSW,PF,758804.0,1384.68,22,19.5,548.0,59.0,1196.0,114.0,39.0,62.0
9,Duncan Robinson,MIA,SF,1416852.0,1441.36,25,13.1,983.0,73.0,2166.0,102.0,35.0,19.0
10,Paul Watson,TOR,SF,50752.0,1637.16,25,-7.1,31.0,8.0,70.0,5.0,3.0,1.0
11,Terence Davis,TOR,SG,898310.0,1654.35,22,13.8,543.0,72.0,1209.0,115.0,39.0,14.0
12,Pascal Siakam,TOR,PF,2351839.0,1715.42,25,17.9,1371.0,60.0,2110.0,207.0,61.0,53.0
13,Timothé Luwawu-Cabarrot,BRK,SG,654468.0,1793.06,24,11.0,365.0,47.0,853.0,29.0,18.0,7.0
14,Christian Wood,DET,PF,1645357.0,2031.3,24,23.2,810.0,62.0,1325.0,60.0,34.0,54.0
15,Donovan Mitchell,UTA,SG,3635760.0,2196.83,23,18.8,1655.0,69.0,2364.0,294.0,70.0,14.0
16,Cameron Payne,PHO,PG,196288.0,2256.18,25,15.7,87.0,8.0,183.0,24.0,8.0,2.0
17,Furkan Korkmaz,PHI,SG,1620564.0,2301.94,22,12.0,704.0,72.0,1559.0,79.0,41.0,16.0
18,Johnathan Williams,WAS,C,106181.0,2359.58,24,14.0,45.0,15.0,180.0,8.0,1.0,8.0
19,Monte Morris,DEN,PG,1588231.0,2406.41,24,14.9,660.0,73.0,1636.0,255.0,55.0,17.0
20,Carmelo Anthony,POR,PF,2159029.0,2412.32,35,12.4,895.0,58.0,1902.0,85.0,49.0,27.0
21,Mychal Mulder,GSW,SG,187782.0,2438.73,25,7.8,77.0,7.0,204.0,8.0,2.0,1.0
22,Kyle Kuzma,LAL,PF,1974600.0,2525.06,24,12.2,782.0,61.0,1526.0,80.0,28.0,26.0
23,Brandon Goodwin,ATL,PG,522738.0,2537.56,24,11.6,206.0,34.0,430.0,51.0,12.0,4.0
24,Derrick White,SAS,SG,1948080.0,2546.51,25,16.4,765.0,68.0,1677.0,241.0,44.0,59.0
25,Mitchell Robinson,NYK,C,1559712.0,2643.58,21,23.5,590.0,61.0,1412.0,36.0,52.0,119.0
26,Bruce Brown,DET,SG,1416852.0,2740.53,23,11.9,517.0,58.0,1634.0,230.0,63.0,29.0
27,Sviatoslav Mykhailiuk,DET,SF,1416852.0,2811.21,22,11.2,504.0,56.0,1265.0,106.0,41.0,4.0
28,Ben McLemore,HOU,SG,2028594.0,2837.19,26,11.8,715.0,71.0,1619.0,58.0,45.0,16.0
29,Josh Hart,NOP,SF,1934160.0,2948.41,24,11.9,656.0,65.0,1755.0,108.0,63.0,23.0
30,Brad Wanamaker,BOS,PG,1445697.0,2968.58,30,12.8,487.0,71.0,1369.0,179.0,61.0,14.0
31,Shai Gilgeous-Alexander,OKC,SG,3952920.0,2969.89,21,17.7,1331.0,70.0,2428.0,232.0,79.0,47.0
32,Bam Adebayo,MIA,PF,3454080.0,3014.03,22,20.3,1146.0,72.0,2417.0,368.0,82.0,93.0
33,John Collins,ATL,PF,2686560.0,3035.66,22,23.5,885.0,41.0,1363.0,60.0,31.0,66.0
34,Jalen Brunson,DAL,PG,1416582.0,3039.88,23,14.9,466.0,57.0,1022.0,188.0,22.0,4.0
35,Jarrett Allen,BRK,C,2376840.0,3066.89,21,20.7,775.0,70.0,1852.0,110.0,40.0,92.0
36,Donta Hall,BRK,PF,101504.0,3075.88,22,17.2,33.0,5.0,85.0,2.0,2.0,5.0
37,Domantas Sabonis,IND,C,3529555.0,3077.21,23,20.7,1147.0,62.0,2159.0,310.0,47.0,30.0
38,Anžejs Pasečņiks,WAS,C,482144.0,3090.67,24,11.3,156.0,27.0,437.0,18.0,9.0,12.0
39,OG Anunoby,TOR,SF,2281800.0,3112.96,22,13.2,733.0,69.0,2066.0,108.0,96.0,45.0
40,De'Anthony Melton,MEM,PG,1416852.0,3113.96,21,13.5,455.0,60.0,1167.0,175.0,77.0,20.0
41,Caris LeVert,BRK,SG,2625718.0,3118.43,25,16.1,842.0,45.0,1330.0,199.0,53.0,10.0
42,Dejounte Murray,SAS,PG,2321735.0,3224.63,23,16.2,720.0,66.0,1687.0,271.0,111.0,17.0
43,Naz Reid,MIN,C,898310.0,3339.44,20,15.3,269.0,30.0,495.0,35.0,19.0,22.0
44,Chris Silva,MIA,PF,466918.0,3510.66,23,17.3,133.0,44.0,346.0,23.0,9.0,21.0
