player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Stephen Curry,GSW,PG,104,5,139,33,5,2,40231758,386843.83,289437.11
Chris Paul,OKC,PG,1232,70,2208,472,111,11,38506482,31255.26,17439.53
Russell Westbrook,HOU,PG,1553,57,2049,401,93,20,38178000,24583.39,18632.5
John Wall,,,,,,,,,37800000,,
James Harden,HOU,SG,2335,68,2483,512,125,60,37800000,16188.44,15223.52
LeBron James,LAL,PG,1698,67,2316,684,78,36,37436858,22047.62,16164.45
Kevin Durant,,,,,,,,,37199000,,
Blake Griffin,DET,PF,279,18,512,59,7,7,34234964,122705.96,66865.16
Kyle Lowry,TOR,PG,1126,58,2098,433,82,26,33296296,29570.42,15870.49
Paul George,LAC,SF,1033,48,1419,185,68,20,33005556,31951.17,23259.73
Klay Thompson,,,,,,,,,32742000,,
Jimmy Butler,MIA,SF,1157,58,1959,350,103,32,32742000,28299.05,16713.63
Kemba Walker,BOS,PG,1145,56,1742,268,48,28,32742000,28595.63,18795.64
Kawhi Leonard,LAC,SF,1543,57,1848,280,103,33,32742000,21219.7,17717.53
Gordon Hayward,BOS,SF,909,52,1740,212,38,22,32700690,35974.36,18793.5
Mike Conley,UTA,PG,675,47,1363,208,36,5,32511623,48165.37,23852.99
Kyrie Irving,BRK,PG,548,20,658,128,27,10,31742000,57923.36,48240.12
Tobias Harris,PHI,PF,1411,72,2469,227,53,40,31034483,21994.67,12569.66
Khris Middleton,MIL,SF,1297,62,1853,265,53,7,30603448,23595.57,16515.62
Paul Millsap,DEN,PF,591,51,1240,83,44,30,30500000,51607.45,24596.77
Damian Lillard,POR,PG,1978,66,2474,530,70,22,29802321,15066.9,12046.21
Kevin Love,CLE,PF,987,56,1780,178,33,19,28900000,29280.65,16235.96
Nikola Vučević,ORL,C,1215,62,1998,222,54,47,28000000,23045.27,14014.01
Al Horford,PHI,C,798,67,2025,270,52,61,28000000,35087.72,13827.16
DeMar DeRozan,SAS,SF,1504,68,2316,380,70,20,27739975,18444.13,11977.54
CJ McCollum,POR,SG,1556,70,2556,310,54,42,27556959,17710.13,10781.28
Joel Embiid,PHI,C,1172,51,1506,152,45,65,27504630,23468.11,18263.37
Andrew Wiggins,GSW,SG,233,12,403,43,16,17,27504630,118045.62,68249.7
Kristaps Porziņģis,DAL,PF,1164,57,1814,102,41,115,27285000,23440.72,15041.35
D'Angelo Russell,MIN,PG,260,12,392,79,17,4,27285000,104942.31,69604.59
Otto Porter,CHI,SF,167,14,331,25,15,6,27250576,163177.1,82328.02
Devin Booker,PHO,SG,1863,70,2512,456,49,18,27250000,14626.95,10847.93
Karl-Anthony Towns,MIN,C,926,35,1187,153,33,42,27250000,29427.65,22957.03
Bradley Beal,WAS,SG,1741,57,2053,347,71,23,27093019,15561.76,13196.79
Anthony Davis,LAL,PF,1618,62,2131,200,91,143,27093019,16744.76,12713.76
Andre Drummond,CLE,C,140,8,225,14,12,11,27093019,193521.56,120413.42
Hassan Whiteside,POR,C,1040,67,2008,78,26,196,27093018,26050.98,13492.54
Nikola Jokić,DEN,C,1456,73,2336,512,85,44,26573595,18251.1,11375.68
Jrue Holiday,NOP,SG,1167,61,2117,408,99,48,26131111,22391.7,12343.46
LaMarcus Aldridge,SAS,C,1001,53,1754,129,36,87,26000000,25974.03,14823.26
Steven Adams,OKC,C,684,63,1680,146,51,67,25842697,37781.72,15382.56
Giannis Antetokounmpo,MIL,PF,1857,63,1917,354,61,66,25842697,13916.37,13480.8
Marc Gasol,TOR,C,331,44,1161,147,34,38,25595700,77328.4,22046.25
Nicolas Batum,CHO,SF,79,22,505,66,17,8,25565217,323610.34,50624.19
Chandler Parsons,ATL,SF,14,5,54,3,4,1,25102511,1793036.5,464861.31
Rudy Gobert,UTA,C,1026,68,2333,101,51,135,25008427,24374.69,10719.43
Harrison Barnes,SAC,PF,1046,72,2482,159,43,12,24147727,23085.78,9729.14
Serge Ibaka,TOR,C,845,55,1485,77,28,46,23271604,27540.36,15671.11
Danilo Gallinari,OKC,PF,1160,62,1834,119,42,5,22615559,19496.17,12331.28
Victor Oladipo,IND,SG,275,19,528,56,17,4,21000000,76363.64,39772.73
Malcolm Brogdon,IND,PG,893,54,1666,381,35,10,20000000,22396.42,12004.8
Terry Rozier,CHO,PG,1134,63,2164,259,61,10,19894737,17543.86,9193.5
Aaron Gordon,ORL,PF,894,62,2017,228,51,39,19863636,22218.83,9848.11
Zach LaVine,CHI,SG,1530,60,2085,254,88,28,19500000,12745.1,9352.52
Kent Bazemore,SAC,SG,257,25,577,32,29,9,19269662,74979.23,33396.29
Tyler Johnson,BRK,SG,96,8,194,24,4,1,19245370,200472.6,99202.94
