,Player,Team,2019-20
0,Stephen Curry,GSW,40231758
1,Chris Paul,OKC,38506482
2,Russell Westbrook,HOU,38178000
3,James Harden,HOU,37800000
4,LeBron James,LAL,37436858
5,Blake Griffin,DET,34234964
6,Kyle Lowry,TOR,33296296
7,Paul George,LAC,33005556
8,Jimmy Butler,MIA,32742000
9,Kemba Walker,BOS,32742000
10,Kawhi Leonard,LAC,32742000
11,Gordon Hayward,BOS,32700690
12,Mike Conley,UTA,32511623
13,Kyrie Irving,BRK,31742000
14,Tobias Harris,PHI,31034483
15,Khris Middleton,MIL,30603448
16,Paul Millsap,DEN,30500000
17,Damian Lillard,POR,29802321
18,Kevin Love,CLE,28900000
19,Nikola Vučević,ORL,28000000
20,Al Horford,PHI,28000000
21,DeMar DeRozan,SAS,27739975
22,CJ McCollum,POR,27556959
23,Joel Embiid,PHI,27504630
24,Andrew Wiggins,GSW,27504630
25,Andrew Wiggins,GSW,27504630
26,Andrew Wiggins,GSW,27504630
27,Kristaps Porziņģis,DAL,27285000
28,D'Angelo Russell,MIN,27285000
29,D'Angelo Russell,MIN,27285000
30,D'Angelo Russell,MIN,27285000
31,Otto Porter,CHI,27250576
32,Devin Booker,PHO,27250000
33,Karl-Anthony Towns,MIN,27250000
34,Bradley Beal,WAS,27093019
35,Anthony Davis,LAL,27093019
36,Andre Drummond,CLE,27093019
37,Andre Drummond,CLE,27093019
38,Andre Drummond,CLE,27093019
39,Hassan Whiteside,POR,27093018
40,Nikola Jokić,DEN,26573595
41,Jrue Holiday,NOP,26131111
42,LaMarcus Aldridge,SAS,26000000
43,Steven Adams,OKC,25842697
44,Giannis Antetokounmpo,MIL,25842697
45,Marc Gasol,TOR,25595700
46,Nicolas Batum,CHO,25565217
47,Chandler Parsons,ATL,25102511
48,Rudy Gobert,UTA,25008427
49,Harrison Barnes,SAC,24147727
50,Serge Ibaka,TOR,23271604
51,Danilo Gallinari,OKC,22615559
52,Victor Oladipo,IND,21000000
53,Malcolm Brogdon,IND,20000000
54,Terry Rozier,CHO,19894737
55,Aaron Gordon,ORL,19863636
56,Zach LaVine,CHI,19500000
57,Kent Bazemore,SAC,19269662
58,Kent Bazemore,SAC,19269662
59,Kent Bazemore,SAC,19269662
60,Tyler Johnson,PHO,19245370
61,Tyler Johnson,PHO,19245370
62,Tyler Johnson,PHO,19245370
63,Tyler Johnson,BRK,212753
64,Tyler Johnson,BRK,212753
65,Tyler Johnson,BRK,212753
66,Goran Dragić,MIA,19217900
67,Jeff Teague,ATL,19000000
68,Jeff Teague,ATL,19000000
69,Jeff Teague,ATL,19000000
70,Evan Turner,MIN,18606557
71,Draymond Green,GSW,18539130
72,Tristan Thompson,CLE,18539130
73,Myles Turner,IND,18000000
74,Julius Randle,NYK,18000000
75,Gary Harris,DEN,17839286
76,Allen Crabbe,MIN,17818456
77,Allen Crabbe,MIN,17818456
78,Allen Crabbe,MIN,17818456
79,Derrick Favors,NOP,17650000
80,Reggie Jackson,DET,17286956
81,Reggie Jackson,DET,17286956
82,Reggie Jackson,DET,17286956
83,Reggie Jackson,LAC,734025
84,Reggie Jackson,LAC,734025
85,Reggie Jackson,LAC,734025
86,Andre Iguodala,MIA,17185185
87,Bojan Bogdanović,UTA,17000000
88,Evan Fournier,ORL,17000000
89,Bismack Biyombo,CHO,17000000
90,Clint Capela,ATL,16456522
91,Gorgui Dieng,MEM,16229213
92,Gorgui Dieng,MEM,16229213
93,Gorgui Dieng,MEM,16229213
94,Ricky Rubio,PHO,16190476
95,Jonas Valančiūnas,MEM,16000000
96,Brandon Knight,DET,15643750
97,Brandon Knight,DET,15643750
98,Brandon Knight,DET,15643750
99,Eric Bledsoe,MIL,15625000
100,Dennis Schröder,OKC,15500000
101,Ian Mahinmi,WAS,15450051
102,James Johnson,MIN,15349400
103,James Johnson,MIN,15349400
104,James Johnson,MIN,15349400
105,Marvin Williams,CHO,15006250
106,Marvin Williams,CHO,15006250
107,Marvin Williams,CHO,15006250
108,Marvin Williams,MIL,956349
109,Marvin Williams,MIL,956349
110,Marvin Williams,MIL,956349
111,Bobby Portis,NYK,15000000
112,Marcus Morris,LAC,15000000
113,Marcus Morris,LAC,15000000
114,Marcus Morris,LAC,15000000
115,Danny Green,LAL,14634146
116,Cody Zeller,CHO,14471910
117,Eric Gordon,HOU,14057730
118,Mason Plumlee,DEN,14041096
119,Rudy Gay,SAS,14000000
120,J.J. Redick,NOP,13486300
121,Jordan Clarkson,UTA,13437500
122,Jordan Clarkson,UTA,13437500
123,Jordan Clarkson,UTA,13437500
124,Dewayne Dedmon,ATL,13333334
125,Dewayne Dedmon,ATL,13333334
126,Dewayne Dedmon,ATL,13333334
127,Solomon Hill,MIA,13258781
128,Solomon Hill,MIA,13258781
129,Solomon Hill,MIA,13258781
130,Justise Winslow,MEM,13000000
131,Michael Kidd-Gilchrist,CHO,13000000
132,Michael Kidd-Gilchrist,CHO,13000000
133,Michael Kidd-Gilchrist,CHO,13000000
134,Michael Kidd-Gilchrist,DAL,810763
135,Michael Kidd-Gilchrist,DAL,810763
136,Michael Kidd-Gilchrist,DAL,810763
137,Will Barton,DEN,12960000
138,Thaddeus Young,CHI,12900000
139,Courtney Lee,DAL,12759670
140,Marcus Smart,BOS,12553471
141,Terrence Ross,ORL,12500000
142,Patty Mills,SAS,12428571
143,Patrick Beverley,LAC,12345679
144,Trevor Ariza,POR,12200000
