,Player,Pos,Tm,Age,AST,STL,G,BLK,PTS,FG,FGA,MP
0,Steven Adams,C,OKC,26,146,51,63,67,684,283,478,1680
1,Bam Adebayo,PF,MIA,22,368,82,72,93,1146,440,790,2417
2,LaMarcus Aldridge,C,SAS,34,129,36,53,87,1001,391,793,1754
3,Kyle Alexander,PF,MIA,23,0,0,2,0,2,1,2,13
4,Nickeil Alexander-Walker,SG,NOP,21,89,17,47,8,267,98,266,591
5,Grayson Allen,SG,MEM,24,52,10,38,2,330,117,251,718
6,Jarrett Allen,C,BRK,21,110,40,70,92,775,302,465,1852
7,Kadeem Allen,SG,NYK,27,21,5,10,2,50,19,44,117
8,Al-Farouq Aminu,PF,ORL,29,21,18,18,8,78,25,86,380
9,Justin Anderson,SF,BRK,26,8,0,10,6,28,10,38,107
10,Kyle Anderson,PF,MEM,26,162,54,67,37,390,157,331,1330
11,Ryan Anderson,C,HOU,31,2,1,2,0,5,2,7,14
12,Giannis Antetokounmpo,PF,MIL,25,354,61,63,66,1857,685,1238,1917
13,Kostas Antetokounmpo,PF,LAL,22,2,0,5,0,7,3,3,20
14,Thanasis Antetokounmpo,SF,MIL,27,15,7,20,2,55,24,48,129
15,Carmelo Anthony,PF,POR,35,85,49,58,27,895,336,782,1902
16,OG Anunoby,SF,TOR,22,108,96,69,45,733,286,566,2066
17,Ryan Arcidiacono,PG,CHI,25,96,27,58,3,261,90,220,930
19,Trevor Ariza,SF,SAC,34,50,35,32,7,192,64,165,791
20,Trevor Ariza,SF,POR,34,41,34,21,8,231,78,159,702
21,D.J. Augustin,PG,ORL,32,262,34,57,1,599,184,461,1420
22,Deandre Ayton,C,PHO,21,72,26,38,58,690,310,568,1236
23,Dwayne Bacon,SG,CHO,24,52,23,39,2,224,85,244,687
24,Marvin Bagley III,PF,SAC,20,10,6,13,12,185,78,167,334
25,Lonzo Ball,PG,NOP,22,438,88,63,38,745,277,687,2025
26,Mo Bamba,C,ORL,21,42,23,62,86,332,132,286,878
27,J.J. Barea,PG,DAL,35,112,5,29,2,222,85,207,450
28,Harrison Barnes,PF,SAC,27,159,43,72,12,1046,365,793,2482
29,RJ Barrett,SG,NYK,19,143,55,56,17,803,292,727,1704
30,Will Barton,SF,DEN,29,212,61,58,29,874,332,738,1916
32,Keita Bates-Diop,SF,MIN,24,30,17,37,20,251,87,206,646
33,Keita Bates-Diop,SF,DEN,24,0,2,7,4,37,13,28,98
34,Nicolas Batum,SF,CHO,31,66,17,22,8,79,28,81,505
35,Aron Baynes,C,PHO,33,67,10,42,23,481,183,381,934
37,Kent Bazemore,SF,POR,30,61,45,43,31,340,113,326,1111
38,Kent Bazemore,SG,SAC,30,32,29,25,9,257,87,208,577
39,Darius Bazley,PF,OKC,19,41,23,61,41,342,125,317,1130
40,Bradley Beal,SG,WAS,26,347,71,57,23,1741,593,1303,2053
42,Malik Beasley,SG,DEN,23,48,31,41,6,325,117,301,746
43,Malik Beasley,SG,MIN,23,27,9,14,2,290,110,233,463
44,Marco Belinelli,SG,SAS,33,69,12,57,1,361,123,314,883
46,Jordan Bell,C,MIN,25,14,2,27,10,83,32,60,235
47,Jordan Bell,PF,MEM,25,2,1,2,0,10,3,7,21
48,DeAndre' Bembry,SG,ATL,25,81,55,43,19,249,104,228,915
50,Dragan Bender,SF,MIL,22,9,0,7,5,26,10,21,91
51,Dragan Bender,SF,GSW,22,19,4,9,4,81,31,71,195
52,Dāvis Bertāns,PF,WAS,27,92,37,54,33,834,265,610,1583
53,Patrick Beverley,PG,LAC,31,183,54,51,25,405,147,341,1342
54,Khem Birch,C,ORL,27,50,20,48,23,212,73,143,922
55,Goga Bitadze,C,IND,20,23,10,54,37,172,70,150,471
56,Bismack Biyombo,C,CHO,27,50,10,53,49,393,151,278,1029
57,Nemanja Bjelica,PF,SAC,31,203,62,72,40,831,314,653,2011
58,Eric Bledsoe,PG,MIL,30,328,57,61,26,911,334,703,1646
59,Bogdan Bogdanović,SG,SAC,27,207,64,61,15,924,337,766,1766
60,Bojan Bogdanović,SF,UTA,30,131,34,63,7,1275,418,935,2083
61,Bol Bol,SF,DEN,20,6,2,7,6,40,14,28,87
63,Jonah Bolden,PF,PHI,24,0,1,4,0,4,2,3,14
64,Jonah Bolden,PF,PHO,24,0,2,3,2,6,2,8,33
65,Marques Bolden,C,CLE,21,0,1,1,0,0,0,0,3
66,Jordan Bone,PG,DET,22,8,1,10,0,12,5,20,53
67,Isaac Bonga,SF,WAS,20,76,45,66,22,330,118,234,1250
68,Devin Booker,SG,PHO,23,456,49,70,18,1863,627,1283,2512
69,Chris Boucher,PF,TOR,27,26,22,62,61,411,141,299,819
70,Brian Bowen,SG,IND,21,0,0,6,1,6,3,10,31
71,Ky Bowman,PG,GSW,22,131,44,45,10,335,134,321,1015
72,Avery Bradley,SG,LAL,29,63,43,49,5,423,170,383,1186
73,Tony Bradley,C,UTA,22,23,14,58,33,285,126,189,663
74,Jarrell Brantley,PF,UTA,23,11,3,9,5,24,10,28,96
75,Ignas Brazdeikis,SF,NYK,21,4,0,9,1,17,6,22,53
76,Corey Brewer,SG,SAC,33,2,4,5,0,5,2,4,33
77,Mikal Bridges,SF,PHO,23,129,102,73,46,667,247,484,2042
78,Miles Bridges,SF,CHO,21,114,40,65,48,843,319,753,1995
79,Oshae Brissett,SF,TOR,21,7,4,19,1,37,13,36,135
80,Ryan Broekhoff,SG,DAL,29,11,5,17,4,71,22,59,180
81,Malcolm Brogdon,PG,IND,27,381,35,54,10,893,326,744,1666
82,Dillon Brooks,SG,MEM,24,150,63,73,27,1181,435,1068,2112
83,Bruce Brown,SG,DET,23,230,63,58,29,517,198,447,1634
84,Charlie Brown,SG,ATL,22,2,2,10,2,20,6,19,40
85,Jaylen Brown,SF,BOS,23,118,65,57,20,1159,427,887,1934
86,Moses Brown,C,POR,20,1,1,9,1,11,4,10,33
87,Sterling Brown,SF,MIL,24,51,29,52,7,266,95,256,767
88,Troy Brown Jr.,SG,WAS,20,178,85,69,7,716,273,622,1782
89,Jalen Brunson,PG,DAL,23,188,22,57,4,466,181,388,1022
90,Thomas Bryant,C,WAS,22,83,25,46,49,609,243,418,1147
91,Reggie Bullock,SG,NYK,28,42,25,29,3,234,90,224,684
93,Trey Burke,PG,PHI,27,53,7,25,1,147,59,127,329
94,Trey Burke,PG,DAL,27,30,9,8,1,96,35,82,191
96,Alec Burks,SG,GSW,28,151,50,48,17,773,244,601,1390
97,Alec Burks,SG,PHI,28,38,12,18,0,220,77,167,364
98,Deonte Burton,SG,OKC,26,17,7,39,10,104,43,125,356
99,Jimmy Butler,SF,MIA,30,350,103,58,32,1157,345,758,1959
101,Bruno Caboclo,C,MEM,24,10,10,22,12,62,28,69,192
102,Bruno Caboclo,C,HOU,24,2,5,8,5,28,10,20,52
103,Devontae Cacok,C,LAL,23,1,0,1,0,6,3,6,9
104,Kentavious Caldwell-Pope,SG,LAL,26,111,57,69,14,645,237,507,1762
105,Vlatko Čančar,SF,DEN,22,3,1,14,1,17,6,15,45
