,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
0,Luguentz Dort,OKC,SG,"$155,647.00","$2,751,941.00",20.0,7.6,244.0,36.0,820.0,27.0,31.0,4.0
1,Ky Bowman,GSW,PG,"$350,189.00","$3,123,511.00",22.0,9.1,335.0,45.0,1015.0,131.0,44.0,10.0
2,Eric Paschall,GSW,PF,"$898,310.00","$5,894,305.00",23.0,14.5,837.0,60.0,1654.0,127.0,32.0,13.0
3,PJ Dozier,DEN,PG,"$183,115.00","$3,624,306.00",23.0,11.6,168.0,29.0,412.0,63.0,14.0,6.0
4,Devonte' Graham,CHO,PG,"$1,416,852.00","$12,321,126.00",24.0,15.8,1145.0,63.0,2211.0,471.0,62.0,15.0
5,Damion Lee,GSW,SG,"$842,327.00","$8,977,062.00",27.0,12.7,621.0,49.0,1423.0,133.0,50.0,6.0
6,Dillon Brooks,MEM,SG,"$1,618,520.00","$5,325,346.00",24.0,11.3,1181.0,73.0,2112.0,150.0,63.0,27.0
7,Kendrick Nunn,MIA,SG,"$1,416,852.00","$6,298,165.00",24.0,12.9,1024.0,67.0,1962.0,220.0,56.0,15.0
8,Marquese Chriss,GSW,PF,"$758,804.00","$4,170,409.00",22.0,19.5,548.0,59.0,1196.0,114.0,39.0,62.0
9,Duncan Robinson,MIA,SF,"$1,416,852.00","$7,515,565.00",25.0,13.1,983.0,73.0,2166.0,102.0,35.0,19.0
10,Terence Davis,TOR,SG,"$898,310.00","$1,638,015.00",22.0,13.8,543.0,72.0,1209.0,115.0,39.0,14.0
11,Pascal Siakam,TOR,PF,"$2,351,839.00","$15,396,696.00",25.0,17.9,1371.0,60.0,2110.0,207.0,61.0,53.0
12,Timothé Luwawu-Cabarrot,BRK,SG,"$654,468.00","$3,169,197.00",24.0,11.0,365.0,47.0,853.0,29.0,18.0,7.0
13,Christian Wood,DET,PF,"$1,645,357.00","$6,494,612.00",24.0,23.2,810.0,62.0,1325.0,60.0,34.0,54.0
14,Donovan Mitchell,UTA,SG,"$3,635,760.00","$12,179,272.00",23.0,18.8,1655.0,69.0,2364.0,294.0,70.0,14.0
15,Furkan Korkmaz,PHI,SG,"$1,620,564.00","$2,381,494.00",22.0,12.0,704.0,72.0,1559.0,79.0,41.0,16.0
16,Monte Morris,DEN,PG,"$1,588,231.00","$3,580,984.00",24.0,14.9,660.0,73.0,1636.0,255.0,55.0,17.0
17,Carmelo Anthony,POR,PF,"$2,159,029.00","$24,241,184.00",35.0,12.4,895.0,58.0,1902.0,85.0,49.0,27.0
18,Kyle Kuzma,LAL,PF,"$1,974,600.00","$4,544,762.00",24.0,12.2,782.0,61.0,1526.0,80.0,28.0,26.0
19,Brandon Goodwin,ATL,PG,"$522,738.00","$3,259,201.00",24.0,11.6,206.0,34.0,430.0,51.0,12.0,4.0
20,Derrick White,SAS,SG,"$1,948,080.00","$5,803,054.00",25.0,16.4,765.0,68.0,1677.0,241.0,44.0,59.0
21,Mitchell Robinson,NYK,C,"$1,559,712.00","$6,171,770.00",21.0,23.5,590.0,61.0,1412.0,36.0,52.0,119.0
22,Bruce Brown,DET,SG,"$1,416,852.00","$5,351,910.00",23.0,11.9,517.0,58.0,1634.0,230.0,63.0,29.0
23,Sviatoslav Mykhailiuk,DET,SF,"$1,416,852.00","$3,076,887.00",22.0,11.2,504.0,56.0,1265.0,106.0,41.0,4.0
24,Ben McLemore,HOU,SG,"$2,028,594.00","$3,874,682.00",26.0,11.8,715.0,71.0,1619.0,58.0,45.0,16.0
25,Josh Hart,NOP,SF,"$1,934,160.00","$5,081,123.00",24.0,11.9,656.0,65.0,1755.0,108.0,63.0,23.0
26,Brad Wanamaker,BOS,PG,"$1,445,697.00","$4,168,292.00",30.0,12.8,487.0,71.0,1369.0,179.0,61.0,14.0
27,Shai Gilgeous-Alexander,OKC,SG,"$3,952,920.00","$10,465,159.00",21.0,17.7,1331.0,70.0,2428.0,232.0,79.0,47.0
28,Bam Adebayo,MIA,PF,"$3,454,080.00","$12,484,692.00",22.0,20.3,1146.0,72.0,2417.0,368.0,82.0,93.0
29,John Collins,ATL,PF,"$2,686,560.00","$14,739,871.00",22.0,23.5,885.0,41.0,1363.0,60.0,31.0,66.0
30,Jalen Brunson,DAL,PG,"$1,416,582.00","$2,913,269.00",23.0,14.9,466.0,57.0,1022.0,188.0,22.0,4.0
31,Jarrett Allen,BRK,C,"$2,376,840.00","$6,365,324.00",21.0,20.7,775.0,70.0,1852.0,110.0,40.0,92.0
32,Domantas Sabonis,IND,C,"$3,529,555.00","$15,391,504.00",23.0,20.7,1147.0,62.0,2159.0,310.0,47.0,30.0
33,Anžejs Pasečņiks,WAS,C,"$482,144.00","$4,485,930.00",24.0,11.3,156.0,27.0,437.0,18.0,9.0,12.0
34,OG Anunoby,TOR,SF,"$2,281,800.00","$5,791,472.00",22.0,13.2,733.0,69.0,2066.0,108.0,96.0,45.0
35,De'Anthony Melton,MEM,PG,"$1,416,852.00","$2,275,611.00",21.0,13.5,455.0,60.0,1167.0,175.0,77.0,20.0
36,Caris LeVert,BRK,SG,"$2,625,718.00","$9,259,231.00",25.0,16.1,842.0,45.0,1330.0,199.0,53.0,10.0
37,Dejounte Murray,SAS,PG,"$2,321,735.00","$4,853,203.00",23.0,16.2,720.0,66.0,1687.0,271.0,111.0,17.0
38,Naz Reid,MIN,C,"$898,310.00","$3,693,792.00",20.0,15.3,269.0,30.0,495.0,35.0,19.0,22.0
39,Chris Silva,MIA,PF,"$466,918.00","$2,466,274.00",23.0,17.3,133.0,44.0,346.0,23.0,9.0,21.0
40,Buddy Hield,SAC,SG,"$4,861,208.00","$11,019,491.00",27.0,16.0,1382.0,72.0,2216.0,213.0,66.0,17.0
41,Trae Young,ATL,PG,"$6,273,000.00","$13,990,922.00",21.0,23.9,1778.0,60.0,2120.0,560.0,65.0,8.0
42,Chris Clemons,HOU,SG,"$568,422.00","$2,574,790.00",22.0,13.1,161.0,33.0,291.0,27.0,9.0,6.0
43,Collin Sexton,CLE,SG,"$4,764,960.00","$7,935,354.00",21.0,16.3,1349.0,65.0,2143.0,192.0,65.0,7.0
44,Brandon Clarke,MEM,PF,"$2,478,840.00","$5,981,089.00",23.0,20.9,700.0,58.0,1300.0,81.0,32.0,48.0
45,Aaron Holiday,IND,PG,"$2,239,200.00","$3,549,613.00",23.0,11.6,627.0,66.0,1617.0,225.0,55.0,16.0
46,Royce O'Neale,UTA,PF,"$1,618,520.00","$6,353,206.00",26.0,9.5,450.0,71.0,2049.0,180.0,59.0,32.0
47,Austin Rivers,HOU,SG,"$2,174,318.00","$4,310,504.00",27.0,10.4,596.0,68.0,1594.0,113.0,49.0,10.0
48,Anfernee Simons,POR,SG,"$2,149,560.00","$1,572,452.00",20.0,9.0,579.0,70.0,1449.0,97.0,26.0,10.0
49,Shake Milton,PHI,SG,"$1,445,697.00","$4,500,703.00",23.0,14.4,377.0,40.0,805.0,104.0,20.0,7.0
50,Kevin Huerter,ATL,SG,"$2,636,280.00","$5,633,423.00",21.0,11.5,684.0,56.0,1760.0,213.0,51.0,27.0
51,Chris Boucher,TOR,PF,"$1,588,231.00","$3,795,965.00",27.0,20.7,411.0,62.0,819.0,26.0,22.0,61.0
52,Jordan Poole,GSW,SG,"$1,964,760.00","$1,937,210.00",20.0,7.2,503.0,57.0,1274.0,134.0,35.0,10.0
53,Cedi Osman,CLE,SF,"$2,907,143.00","$5,861,491.00",24.0,10.7,718.0,65.0,1910.0,154.0,54.0,16.0
54,Landry Shamet,LAC,SG,"$1,995,120.00","$3,999,431.00",22.0,8.5,492.0,53.0,1452.0,99.0,20.0,10.0
55,Bryn Forbes,SAS,SG,"$2,875,000.00","$5,009,056.00",26.0,11.1,707.0,63.0,1579.0,108.0,33.0,0.0
56,Jamal Murray,DEN,PG,"$4,444,746.00","$9,030,289.00",22.0,17.7,1091.0,59.0,1904.0,284.0,67.0,17.0
57,Daniel Gafford,CHI,C,"$898,310.00","$2,916,080.00",21.0,16.2,220.0,43.0,609.0,21.0,13.0,56.0
58,Georges Niang,UTA,PF,"$1,678,854.00","$1,883,626.00",26.0,11.7,392.0,66.0,923.0,44.0,18.0,5.0
59,Isaac Bonga,WAS,SF,"$1,416,852.00","$1,550,818.00",20.0,10.2,330.0,66.0,1250.0,76.0,45.0,22.0
60,Shaquille Harrison,CHI,SF,"$898,310.00","$4,121,710.00",26.0,17.8,209.0,43.0,484.0,49.0,34.0,19.0
61,Frank Jackson,NOP,PG,"$1,618,520.00","$1,145,859.00",21.0,9.1,371.0,59.0,797.0,61.0,17.0,4.0
62,Luka Dončić,DAL,PG,"$7,683,360.00","$13,986,342.00",20.0,27.6,1759.0,61.0,2047.0,538.0,62.0,14.0
63,Emmanuel Mudiay,UTA,PG,"$1,737,145.00","$2,343,483.00",23.0,13.0,395.0,54.0,850.0,116.0,24.0,10.0
64,Matt Thomas,TOR,SG,"$898,310.00","$2,971,031.00",25.0,13.3,202.0,41.0,440.0,22.0,10.0,1.0
65,Miles Bridges,CHO,SF,"$3,755,400.00","$5,553,156.00",21.0,12.1,843.0,65.0,1995.0,114.0,40.0,48.0
66,Hamidou Diallo,OKC,SF,"$1,416,852.00","$2,366,104.00",21.0,9.3,318.0,46.0,896.0,36.0,37.0,9.0
67,Nerlens Noel,OKC,C,"$2,028,594.00","$4,870,552.00",25.0,20.4,449.0,61.0,1127.0,57.0,59.0,91.0
68,Abdel Nader,OKC,SF,"$1,618,520.00","$2,783,280.00",26.0,11.3,345.0,55.0,867.0,38.0,23.0,20.0
69,Josh Okogie,MIN,SG,"$2,530,680.00","$3,214,623.00",21.0,11.5,533.0,62.0,1547.0,99.0,68.0,26.0
70,Isaiah Thomas,WAS,PG,"$2,320,044.00","$8,493,254.00",30.0,11.6,488.0,40.0,925.0,146.0,13.0,6.0
71,Donte DiVincenzo,MIL,SG,"$2,905,800.00","$3,534,109.00",23.0,14.1,610.0,66.0,1520.0,154.0,85.0,20.0
72,Pat Connaughton,MIL,SG,"$1,723,050.00","$3,104,707.00",27.0,11.5,360.0,67.0,1243.0,107.0,25.0,31.0
73,Tyler Herro,MIA,SG,"$3,640,200.00","$4,018,078.00",20.0,12.5,743.0,55.0,1508.0,121.0,34.0,9.0
74,Brandon Ingram,NOP,PF,"$7,265,485.00","$10,896,955.00",22.0,18.8,1477.0,62.0,2104.0,259.0,61.0,38.0
75,Cody Martin,CHO,SF,"$1,173,310.00","$3,124,357.00",24.0,10.5,238.0,48.0,903.0,95.0,39.0,9.0
76,Jevon Carter,PHO,PG,"$1,416,852.00","$2,212,382.00",24.0,11.3,287.0,58.0,945.0,84.0,47.0,17.0
77,Dario Šarić,PHO,PF,"$3,481,986.00","$5,243,194.00",25.0,14.2,704.0,66.0,1632.0,123.0,37.0,16.0
78,Damyean Dotson,NYK,SG,"$1,618,520.00","$3,214,510.00",25.0,10.9,321.0,48.0,836.0,57.0,23.0,4.0
79,Jayson Tatum,BOS,PF,"$7,830,000.00","$11,253,880.00",21.0,20.4,1547.0,66.0,2265.0,200.0,93.0,57.0
80,Montrezl Harrell,LAC,C,"$6,000,000.00","$13,092,552.00",26.0,23.2,1173.0,63.0,1749.0,107.0,39.0,72.0
81,Omari Spellman,GSW,PF,"$1,897,800.00","$3,088,732.00",22.0,14.4,370.0,49.0,886.0,47.0,33.0,24.0
82,Wesley Matthews,MIL,SG,"$2,564,753.00","$7,431,185.00",33.0,8.1,494.0,67.0,1635.0,92.0,38.0,9.0
83,Moritz Wagner,WAS,C,"$2,063,520.00","$3,578,928.00",22.0,15.1,393.0,45.0,835.0,56.0,28.0,19.0
84,Danuel House,HOU,SF,"$3,540,000.00","$8,109,283.00",26.0,11.3,662.0,63.0,1913.0,85.0,67.0,34.0
85,Wesley Iwundu,ORL,SF,"$1,618,520.00","$3,081,761.00",25.0,10.3,300.0,52.0,953.0,60.0,25.0,13.0
86,P.J. Washington,CHO,PF,"$3,831,840.00","$5,512,014.00",21.0,12.4,710.0,58.0,1759.0,123.0,51.0,44.0
87,Javonte Green,BOS,SF,"$898,310.00","$2,437,523.00",26.0,13.1,163.0,48.0,468.0,26.0,24.0,8.0
88,Jaylen Brown,BOS,SF,"$6,534,829.00","$10,880,567.00",23.0,16.9,1159.0,57.0,1934.0,118.0,65.0,20.0
89,Bruno Fernando,ATL,C,"$1,400,000.00","$1,415,056.00",21.0,11.9,240.0,56.0,713.0,49.0,18.0,17.0
90,Dwight Howard,LAL,C,"$3,039,097.00","$9,328,282.00",34.0,18.7,517.0,69.0,1306.0,45.0,31.0,79.0
91,Dorian Finney-Smith,DAL,PF,"$4,000,000.00","$8,332,992.00",26.0,12.3,678.0,71.0,2120.0,114.0,45.0,39.0
92,De'Aaron Fox,SAC,PG,"$6,392,760.00","$10,356,825.00",22.0,20.6,1077.0,51.0,1634.0,348.0,74.0,25.0
93,Rondae Hollis-Jefferson,TOR,SF,"$2,500,000.00","$3,581,606.00",25.0,15.1,418.0,60.0,1122.0,106.0,46.0,23.0
94,Sterling Brown,MIL,SF,"$1,618,520.00","$2,037,836.00",24.0,9.5,266.0,52.0,767.0,51.0,29.0,7.0
95,Coby White,CHI,SG,"$5,307,120.00","$2,764,309.00",19.0,11.9,859.0,65.0,1674.0,175.0,49.0,6.0
96,Mikal Bridges,PHO,SF,"$4,161,000.00","$5,046,164.00",23.0,12.9,667.0,73.0,2042.0,129.0,102.0,46.0
97,Michael Carter-Williams,ORL,SG,"$2,028,594.00","$6,200,479.00",28.0,15.3,323.0,45.0,833.0,109.0,49.0,22.0
98,Raul Neto,PHI,PG,"$1,737,145.00","$2,606,301.00",27.0,12.7,275.0,54.0,668.0,95.0,24.0,6.0
99,Elie Okobo,PHO,PG,"$1,416,852.00","$1,486,320.00",22.0,10.6,219.0,55.0,719.0,115.0,24.0,4.0
100,Torrey Craig,DEN,SF,"$2,100,000.00","$4,236,518.00",29.0,10.8,315.0,58.0,1072.0,47.0,23.0,36.0
101,Darius Bazley,OKC,PF,"$2,284,800.00","$1,475,767.00",19.0,9.6,342.0,61.0,1130.0,41.0,23.0,41.0
102,Lou Williams,LAC,SG,"$8,000,000.00","$17,703,963.00",33.0,17.3,1185.0,65.0,1864.0,365.0,43.0,12.0
103,Mario Hezonja,POR,PF,"$1,737,145.00","$2,254,643.00",24.0,9.5,256.0,53.0,871.0,50.0,36.0,9.0
104,Semi Ojeleye,BOS,PF,"$1,618,520.00","$1,353,636.00",25.0,7.7,236.0,69.0,1011.0,37.0,21.0,5.0
105,Tony Bradley,UTA,C,"$1,962,360.00","$2,461,445.00",22.0,21.7,285.0,58.0,663.0,23.0,14.0,33.0
